Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
X2IEDN 24xlarge,x2iedn.24xlarge,"1,637,107.776",Memory optimized,238.0 fps,3072 GiB,96 vCPUs,2850 GB (2×1425 GB NVMe SSD),75 Gigabit,$26.01 hourly,$16.004 hourly,$2.601 hourly,$30.426 hourly,$16.004 hourly
X2IEDN Double Extra Large,x2iedn.2xlarge,"137,628.489",Memory optimized,56.0 fps,256 GiB,8 vCPUs,237 GB NVMe SSD,Up to 25 Gigabit,$2.1675 hourly,$1.3337 hourly,$0.2549 hourly,$2.5355 hourly,$1.7017 hourly
X2IEDN 32xlarge,x2iedn.32xlarge,"2,111,949.841",Memory optimized,217.0 fps,4096 GiB,128 vCPUs,3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$34.68 hourly,$21.3386 hourly,$3.468 hourly,$40.568 hourly,$27.2266 hourly
X2IEDN Quadruple Extra Large,x2iedn.4xlarge,"270,704.678",Memory optimized,105.0 fps,512 GiB,16 vCPUs,475 GB NVMe SSD,Up to 25 Gigabit,$4.335 hourly,$2.6673 hourly,$0.6693 hourly,$5.071 hourly,$3.4033 hourly
X2IEDN Eight Extra Large,x2iedn.8xlarge,"555,603.785",Memory optimized,182.0 fps,1024 GiB,32 vCPUs,950 GB NVMe SSD,25 Gigabit,$8.67 hourly,$5.3347 hourly,$0.867 hourly,$10.142 hourly,$5.3347 hourly
X2IEDN Metal,x2iedn.metal,"2,256,600.115",Memory optimized,267.0 fps,4096 GiB,128 vCPUs,3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$34.68 hourly,$21.3386 hourly,$3.468 hourly,$40.568 hourly,$21.3386 hourly
X2IEDN Extra Large,x2iedn.xlarge,"67,218.418",Memory optimized,28.0 fps,128 GiB,4 vCPUs,118 GB NVMe SSD,Up to 25 Gigabit,$1.0838 hourly,$0.6668 hourly,$0.2157 hourly,$1.2678 hourly,$0.6668 hourly
X2IEZN 12xlarge Extra Large,x2iezn.12xlarge,"1,000,208.377",Memory optimized,199.0 fps,1536 GiB,48 vCPUs,EBS only,100 Gigabit,,,,,
X2IEZN Double Extra Large,x2iezn.2xlarge,"164,220.466",Memory optimized,53.0 fps,256 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,,,,,
X2IEZN Quadruple Extra Large,x2iezn.4xlarge,"319,696.289",Memory optimized,102.0 fps,512 GiB,16 vCPUs,EBS only,Up to 25 Gigabit,,,,,
X2IEZN 6xlarge,x2iezn.6xlarge,"533,214.841",Memory optimized,143.0 fps,768 GiB,24 vCPUs,EBS only,50 Gigabit,,,,,
X2IEZN Eight Extra Large,x2iezn.8xlarge,"646,725.95",Memory optimized,168.0 fps,1024 GiB,32 vCPUs,EBS only,75 Gigabit,,,,,
X2IEZN Metal,x2iezn.metal,"978,343.949",Memory optimized,198.0 fps,1536 GiB,48 vCPUs,EBS only,100 Gigabit,,,,,
X8AEDZ 12xlarge Extra Large,x8aedz.12xlarge,"2,454,101.789",Memory optimized,429.0 fps,1536 GiB,48 vCPUs,3800 GB NVMe SSD,37.5 Gigabit,,,,,
X8AEDZ 24xlarge,x8aedz.24xlarge,"4,801,527.759",Memory optimized,430.0 fps,3072 GiB,96 vCPUs,7600 GB (2×3800 GB NVMe SSD),75 Gigabit,,,,,
X8AEDZ 3xlarge,x8aedz.3xlarge,"626,067.16",Memory optimized,200.0 fps,384 GiB,12 vCPUs,950 GB NVMe SSD,Up to 18.75 Gigabit,,,,,
X8AEDZ 6xlarge,x8aedz.6xlarge,"1,196,085.538",Memory optimized,328.0 fps,768 GiB,24 vCPUs,1900 GB NVMe SSD,18.75 Gigabit,,,,,
X8AEDZ Large,x8aedz.large,"107,332.78",Memory optimized,39.0 fps,64 GiB,2 vCPUs,158 GB NVMe SSD,Up to 18.75 Gigabit,,,,,
X8AEDZ Metal-12xl,x8aedz.metal-12xl,"2,559,875.885",Memory optimized,438.0 fps,1536 GiB,48 vCPUs,3800 GB NVMe SSD,37.5 Gigabit,,,,,
X8AEDZ Metal-24xl,x8aedz.metal-24xl,"4,924,454.393",Memory optimized,454.0 fps,3072 GiB,96 vCPUs,7600 GB (2×3800 GB NVMe SSD),75 Gigabit,,,,,
X8AEDZ Extra Large,x8aedz.xlarge,"213,260.954",Memory optimized,76.0 fps,128 GiB,4 vCPUs,316 GB NVMe SSD,Up to 18.75 Gigabit,,,,,
X8G 12xlarge Extra Large,x8g.12xlarge,"1,502,464.982",Memory optimized,291.0 fps,768 GiB,48 vCPUs,EBS only,22.5 Gigabit,,,,,
X8G 16xlarge Extra Large,x8g.16xlarge,"1,802,436.105",Memory optimized,293.0 fps,1024 GiB,64 vCPUs,EBS only,30 Gigabit,,,,,
X8G 24xlarge,x8g.24xlarge,"2,895,272.563",Memory optimized,296.0 fps,1536 GiB,96 vCPUs,EBS only,40 Gigabit,,,,,
X8G Double Extra Large,x8g.2xlarge,"247,104.247",Memory optimized,88.0 fps,128 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,,,,,
X8G 48xlarge,x8g.48xlarge,,Memory optimized,,3072 GiB,192 vCPUs,EBS only,50 Gigabit,,,,,
X8G Quadruple Extra Large,x8g.4xlarge,"479,113.64",Memory optimized,157.0 fps,256 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,,,,,
X8G Eight Extra Large,x8g.8xlarge,"932,468.857",Memory optimized,252.0 fps,512 GiB,32 vCPUs,EBS only,15 Gigabit,,,,,
X8G Large,x8g.large,"59,997",Memory optimized,22.0 fps,32 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,,,,,
X8G Medium,x8g.medium,"31,036.623",Memory optimized,12.0 fps,16 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,,,,,
X8G Metal-24xl,x8g.metal-24xl,"2,889,825.406",Memory optimized,298.0 fps,1536 GiB,96 vCPUs,EBS only,40 Gigabit,,,,,
X8G Metal-48xl,x8g.metal-48xl,,Memory optimized,,3072 GiB,192 vCPUs,EBS only,50 Gigabit,,,,,
X8G Extra Large,x8g.xlarge,"121,747.07",Memory optimized,45.0 fps,64 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,,,,,
