Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
A1 Double Extra Large,a1.2xlarge,"95,158.796",General purpose,22.0 fps,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,,,,,
A1 Quadruple Extra Large,a1.4xlarge,"190,136.661",General purpose,42.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,,,,,
A1 Large,a1.large,"23,457.659",General purpose,,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,,,,,
A1 Medium,a1.medium,"11,877.895",General purpose,,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,,,,,
A1 Metal,a1.metal,"192,539.11",General purpose,44.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,,,,,
A1 Extra Large,a1.xlarge,"47,619.048",General purpose,12.0 fps,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,,,,,
C1 High-CPU Medium,c1.medium,"19,882.512",Compute optimized,,1.7 GiB,2 vCPUs,350 GB HDD,Moderate,$0.148 hourly,$0.111 hourly,$0.0158 hourly,$0.228 hourly,$0.203 hourly
C1 High-CPU Extra Large,c1.xlarge,"96,298.525",Compute optimized,32.0 fps,7 GiB,8 vCPUs,1680 GB (4×420 GB HDD),High,$0.592 hourly,$0.444 hourly,$0.1063 hourly,$0.912 hourly,$0.815 hourly
C3 High-CPU Double Extra Large,c3.2xlarge,"118,729.593",Compute optimized,42.0 fps,15 GiB,8 vCPUs,160 GB (2×80 GB SSD),High,$0.478 hourly,$0.36 hourly,$0.2086 hourly,$0.752 hourly,$0.741 hourly
C3 High-CPU Quadruple Extra Large,c3.4xlarge,"237,988.993",Compute optimized,80.0 fps,30 GiB,16 vCPUs,320 GB (2×160 GB SSD),High,$0.956 hourly,$0.72 hourly,$0.3153 hourly,$1.504 hourly,$1.482 hourly
C3 High-CPU Eight Extra Large,c3.8xlarge,"483,944.145",Compute optimized,140.0 fps,60 GiB,32 vCPUs,640 GB (2×320 GB SSD),10 Gigabit,$1.912 hourly,$1.44 hourly,$0.7572 hourly,$3.008 hourly,$2.961 hourly
C3 High-CPU Large,c3.large,"29,520.295",Compute optimized,,3.75 GiB,2 vCPUs,32 GB (2×16 GB SSD),Moderate,$0.12 hourly,$0.09 hourly,$0.0212 hourly,$0.188 hourly,$0.186 hourly
C3 High-CPU Extra Large,c3.xlarge,"58,593.75",Compute optimized,21.0 fps,7.5 GiB,4 vCPUs,80 GB (2×40 GB SSD),Moderate,$0.239 hourly,$0.18 hourly,$0.0847 hourly,$0.376 hourly,$0.371 hourly
C4 High-CPU Double Extra Large,c4.2xlarge,"137,824.102",Compute optimized,42.0 fps,15 GiB,8 vCPUs,EBS only,High,$0.498 hourly,$0.34 hourly,$0.1428 hourly,$0.866 hourly,$0.708 hourly
C4 High-CPU Quadruple Extra Large,c4.4xlarge,"268,006.7",Compute optimized,85.0 fps,30 GiB,16 vCPUs,EBS only,High,$0.997 hourly,$0.68 hourly,$0.2955 hourly,$1.733 hourly,$1.416 hourly
C4 High-CPU Eight Extra Large,c4.8xlarge,"597,510.373",Compute optimized,155.0 fps,60 GiB,36 vCPUs,EBS only,10 Gigabit,$1.993 hourly,$1.361 hourly,$0.6715 hourly,$3.536 hourly,$3.017 hourly
C4 High-CPU Large,c4.large,"31,678.986",Compute optimized,,3.75 GiB,2 vCPUs,EBS only,Moderate,$0.124 hourly,$0.085 hourly,$0.0404 hourly,$0.216 hourly,$0.177 hourly
C4 High-CPU Extra Large,c4.xlarge,"67,358.967",Compute optimized,24.0 fps,7.5 GiB,4 vCPUs,EBS only,High,$0.249 hourly,$0.17 hourly,$0.0838 hourly,$0.433 hourly,$0.354 hourly
C5 High-CPU 12xlarge Extra Large,c5.12xlarge,"789,311.408",Compute optimized,178.0 fps,96 GiB,48 vCPUs,EBS only,12 Gigabit,$2.544 hourly,$1.603 hourly,$0.5851 hourly,$4.752 hourly,$3.811 hourly
C5 High-CPU 18xlarge,c5.18xlarge,"1,142,358.494",Compute optimized,183.0 fps,144 GiB,72 vCPUs,EBS only,25 Gigabit,$3.816 hourly,$2.404 hourly,$1.3161 hourly,$7.128 hourly,$5.716 hourly
C5 High-CPU 24xlarge,c5.24xlarge,"1,626,773.989",Compute optimized,192.0 fps,192 GiB,96 vCPUs,EBS only,25 Gigabit,$5.088 hourly,$3.205 hourly,$1.6734 hourly,$9.504 hourly,$7.621 hourly
C5 High-CPU Double Extra Large,c5.2xlarge,"132,664.483",Compute optimized,45.0 fps,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.424 hourly,$0.267 hourly,$0.1474 hourly,$0.792 hourly,$0.635 hourly
C5 High-CPU Quadruple Extra Large,c5.4xlarge,"262,069.53",Compute optimized,87.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.848 hourly,$0.534 hourly,$0.3103 hourly,$1.584 hourly,$1.27 hourly
C5 High-CPU 9xlarge,c5.9xlarge,"572,906.306",Compute optimized,165.0 fps,72 GiB,36 vCPUs,EBS only,12 Gigabit,$1.908 hourly,$1.202 hourly,$0.868 hourly,$3.564 hourly,$2.858 hourly
C5 High-CPU Large,c5.large,"33,103.448",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.106 hourly,$0.067 hourly,$0.0308 hourly,$0.198 hourly,$0.159 hourly
C5 High-CPU Metal,c5.metal,"1,609,657.948",Compute optimized,192.0 fps,192 GiB,96 vCPUs,EBS only,25 Gigabit,$5.088 hourly,$3.205 hourly,$0.8977 hourly,$9.504 hourly,$7.621 hourly
C5 High-CPU Extra Large,c5.xlarge,"72,684.323",Compute optimized,27.0 fps,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.212 hourly,$0.134 hourly,$0.0781 hourly,$0.396 hourly,$0.318 hourly
C5A 12xlarge Extra Large,c5a.12xlarge,"891,199.406",Compute optimized,176.0 fps,96 GiB,48 vCPUs,EBS only,12 Gigabit,$2.28 hourly,$1.436 hourly,$0.7655 hourly,$4.488 hourly,$3.644 hourly
C5A 16xlarge Extra Large,c5a.16xlarge,"1,197,828.935",Compute optimized,184.0 fps,128 GiB,64 vCPUs,EBS only,20 Gigabit,$3.04 hourly,$1.915 hourly,$0.9421 hourly,$5.984 hourly,$4.859 hourly
C5A 24xlarge,c5a.24xlarge,"1,782,067.941",Compute optimized,209.0 fps,192 GiB,96 vCPUs,EBS only,20 Gigabit,$4.56 hourly,$2.873 hourly,$1.3221 hourly,$8.976 hourly,$7.289 hourly
C5A Double Extra Large,c5a.2xlarge,"145,348.837",Compute optimized,54.0 fps,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.38 hourly,$0.239 hourly,$0.1492 hourly,$0.748 hourly,$0.607 hourly
C5A Quadruple Extra Large,c5a.4xlarge,"290,552.504",Compute optimized,101.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.76 hourly,$0.479 hourly,$0.3288 hourly,$1.496 hourly,$1.215 hourly
C5A Eight Extra Large,c5a.8xlarge,"587,155.963",Compute optimized,161.0 fps,64 GiB,32 vCPUs,EBS only,10 Gigabit,$1.52 hourly,$0.958 hourly,$0.6434 hourly,$2.992 hourly,$2.43 hourly
C5A Large,c5a.large,"37,030.18",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.095 hourly,$0.06 hourly,$0.0341 hourly,$0.187 hourly,$0.152 hourly
C5A Extra Large,c5a.xlarge,"68,555.759",Compute optimized,28.0 fps,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.19 hourly,$0.12 hourly,$0.0808 hourly,$0.374 hourly,$0.304 hourly
C5AD 12xlarge Extra Large,c5ad.12xlarge,,Compute optimized,,96 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,,,,,
C5AD 16xlarge Extra Large,c5ad.16xlarge,,Compute optimized,,128 GiB,64 vCPUs,2400 GB (2×1200 GB NVMe SSD),20 Gigabit,,,,,
C5AD 24xlarge,c5ad.24xlarge,,Compute optimized,,192 GiB,96 vCPUs,3800 GB (2×1900 GB NVMe SSD),20 Gigabit,,,,,
C5AD Double Extra Large,c5ad.2xlarge,,Compute optimized,,16 GiB,8 vCPUs,300 GB NVMe SSD,Up to 10 Gigabit,,,,,
C5AD Quadruple Extra Large,c5ad.4xlarge,,Compute optimized,,32 GiB,16 vCPUs,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,,,,,
C5AD Eight Extra Large,c5ad.8xlarge,,Compute optimized,,64 GiB,32 vCPUs,1200 GB (2×600 GB NVMe SSD),10 Gigabit,,,,,
C5AD Large,c5ad.large,,Compute optimized,,4 GiB,2 vCPUs,75 GB NVMe SSD,Up to 10 Gigabit,,,,,
C5AD Extra Large,c5ad.xlarge,,Compute optimized,,8 GiB,4 vCPUs,150 GB NVMe SSD,Up to 10 Gigabit,,,,,
C5 High-CPU 12xlarge Extra Large,c5d.12xlarge,"786,691.797",Compute optimized,178.0 fps,96 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,$2.88 hourly,$1.814 hourly,$0.6431 hourly,$5.088 hourly,$4.022 hourly
C5 High-CPU 18xlarge,c5d.18xlarge,"1,164,577.436",Compute optimized,188.0 fps,144 GiB,72 vCPUs,1800 GB (2×900 GB NVMe SSD),25 Gigabit,$4.32 hourly,$2.722 hourly,$1.4179 hourly,$7.632 hourly,$6.034 hourly
C5 High-CPU 24xlarge,c5d.24xlarge,"1,546,080.444",Compute optimized,196.0 fps,192 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$5.76 hourly,$3.629 hourly,$1.3851 hourly,$10.176 hourly,$8.045 hourly
C5 High-CPU Double Extra Large,c5d.2xlarge,"134,986.923",Compute optimized,45.0 fps,16 GiB,8 vCPUs,200 GB NVMe SSD,Up to 10 Gigabit,$0.48 hourly,$0.302 hourly,$0.1391 hourly,$0.848 hourly,$0.67 hourly
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,"250,459.829",Compute optimized,88.0 fps,32 GiB,16 vCPUs,400 GB NVMe SSD,Up to 10 Gigabit,$0.96 hourly,$0.605 hourly,$0.3189 hourly,$1.696 hourly,$1.341 hourly
C5 High-CPU 9xlarge,c5d.9xlarge,"554,464.595",Compute optimized,167.0 fps,72 GiB,36 vCPUs,900 GB NVMe SSD,12 Gigabit,$2.16 hourly,$1.361 hourly,$0.7094 hourly,$3.816 hourly,$3.017 hourly
C5 High-CPU Large,c5d.large,"33,285.255",Compute optimized,,4 GiB,2 vCPUs,50 GB NVMe SSD,Up to 10 Gigabit,$0.12 hourly,$0.076 hourly,$0.026 hourly,$0.212 hourly,$0.168 hourly
C5 High-CPU Metal,c5d.metal,"1,749,430.524",Compute optimized,198.0 fps,192 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$5.76 hourly,$3.629 hourly,$1.4371 hourly,$10.176 hourly,$8.045 hourly
C5 High-CPU Extra Large,c5d.xlarge,"63,798.397",Compute optimized,26.0 fps,8 GiB,4 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,$0.24 hourly,$0.151 hourly,$0.0737 hourly,$0.424 hourly,$0.335 hourly
C5N 18xlarge,c5n.18xlarge,"1,160,775.462",Compute optimized,187.0 fps,192 GiB,72 vCPUs,EBS only,100 Gigabit,$4.86 hourly,$3.062 hourly,$1.0502 hourly,$8.172 hourly,$6.374 hourly
C5N Double Extra Large,c5n.2xlarge,"122,680.57",Compute optimized,47.0 fps,21 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.54 hourly,$0.34 hourly,$0.148 hourly,$0.908 hourly,$0.708 hourly
C5N Quadruple Extra Large,c5n.4xlarge,"253,425.2",Compute optimized,92.0 fps,42 GiB,16 vCPUs,EBS only,Up to 25 Gigabit,$1.08 hourly,$0.68 hourly,$0.292 hourly,$1.816 hourly,$1.416 hourly
C5N 9xlarge,c5n.9xlarge,"587,395.472",Compute optimized,166.0 fps,96 GiB,36 vCPUs,EBS only,50 Gigabit,$2.43 hourly,$1.531 hourly,$0.4557 hourly,$4.086 hourly,$3.187 hourly
C5N Large,c5n.large,"31,365.989",Compute optimized,12.0 fps,5.25 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.135 hourly,$0.085 hourly,$0.0342 hourly,$0.227 hourly,$0.177 hourly
C5N Metal,c5n.metal,"1,201,201.201",Compute optimized,184.0 fps,192 GiB,72 vCPUs,EBS only,100 Gigabit,$4.86 hourly,$3.062 hourly,$0.8839 hourly,$8.172 hourly,$6.374 hourly
C5N Extra Large,c5n.xlarge,"65,832.785",Compute optimized,24.0 fps,10.5 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.27 hourly,$0.17 hourly,$0.0882 hourly,$0.454 hourly,$0.354 hourly
C6A 12xlarge Extra Large,c6a.12xlarge,"1,014,155.926",Compute optimized,218.0 fps,96 GiB,48 vCPUs,EBS only,18.75 Gigabit,$2.2896 hourly,$1.5121 hourly,$0.8293 hourly,$4.4976 hourly,$1.5121 hourly
C6A 16xlarge Extra Large,c6a.16xlarge,"1,332,500.521",Compute optimized,226.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,$3.0528 hourly,$2.0161 hourly,$1.1675 hourly,$5.9968 hourly,$4.9601 hourly
C6A 24xlarge,c6a.24xlarge,"1,843,494.959",Compute optimized,263.0 fps,192 GiB,96 vCPUs,EBS only,37.5 Gigabit,$4.5792 hourly,$3.0242 hourly,$1.5193 hourly,$8.9952 hourly,$3.0242 hourly
C6A Double Extra Large,c6a.2xlarge,"181,776.869",Compute optimized,66.0 fps,16 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.3816 hourly,$0.252 hourly,$0.1517 hourly,$0.7496 hourly,$0.62 hourly
C6A 32xlarge,c6a.32xlarge,"2,731,929.425",Compute optimized,229.0 fps,256 GiB,128 vCPUs,EBS only,50 Gigabit,$6.1056 hourly,$4.0322 hourly,$2.4422 hourly,$11.9936 hourly,$9.9202 hourly
C6A 48xlarge,c6a.48xlarge,"3,584,764.75",Compute optimized,220.0 fps,384 GiB,192 vCPUs,EBS only,50 Gigabit,$9.1584 hourly,$6.0483 hourly,$1.8091 hourly,$17.9904 hourly,$6.0483 hourly
C6A Quadruple Extra Large,c6a.4xlarge,"332,450.262",Compute optimized,120.0 fps,32 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.7632 hourly,$0.504 hourly,$0.3179 hourly,$1.4992 hourly,$1.24 hourly
C6A Eight Extra Large,c6a.8xlarge,"624,969.484",Compute optimized,178.0 fps,64 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.5264 hourly,$1.0081 hourly,$0.7253 hourly,$2.9984 hourly,$1.0081 hourly
C6A Large,c6a.large,"43,208.987",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0954 hourly,$0.063 hourly,$0.0352 hourly,$0.1874 hourly,$0.155 hourly
C6A Metal,c6a.metal,"3,398,330.334",Compute optimized,257.0 fps,384 GiB,192 vCPUs,EBS only,50 Gigabit,$9.1584 hourly,$6.0483 hourly,$1.6305 hourly,$17.9904 hourly,$14.8803 hourly
C6A Extra Large,c6a.xlarge,"86,157.381",Compute optimized,34.0 fps,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1908 hourly,$0.126 hourly,$0.0831 hourly,$0.3748 hourly,$0.126 hourly
C6G 12xlarge Extra Large,c6g.12xlarge,"920,774.986",Compute optimized,170.0 fps,96 GiB,48 vCPUs,EBS only,20 Gigabit,$2.0352 hourly,$1.2822 hourly,$0.3873 hourly,,
C6G 16xlarge Extra Large,c6g.16xlarge,"1,271,018.138",Compute optimized,175.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,$2.7136 hourly,$1.7096 hourly,$0.4954 hourly,,
C6G Double Extra Large,c6g.2xlarge,"152,497.141",Compute optimized,50.0 fps,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.3392 hourly,$0.2137 hourly,$0.1302 hourly,,
C6G Quadruple Extra Large,c6g.4xlarge,"321,737.382",Compute optimized,92.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.6784 hourly,$0.4274 hourly,$0.2224 hourly,,
C6G Eight Extra Large,c6g.8xlarge,"647,161.925",Compute optimized,151.0 fps,64 GiB,32 vCPUs,EBS only,12 Gigabit,$1.3568 hourly,$0.8548 hourly,$0.456 hourly,,
C6G Large,c6g.large,"40,300.913",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0848 hourly,$0.0534 hourly,$0.0324 hourly,,
C6G Medium,c6g.medium,"19,743.337",Compute optimized,,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.0424 hourly,$0.0267 hourly,$0.0123 hourly,,
C6G Metal,c6g.metal,"1,258,768.767",Compute optimized,177.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,$2.7136 hourly,$1.7096 hourly,$0.4793 hourly,,
C6G Extra Large,c6g.xlarge,"79,512.324",Compute optimized,26.0 fps,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.1696 hourly,$0.1068 hourly,$0.0652 hourly,,
C6GD 12xlarge Extra Large,c6gd.12xlarge,"928,373.412",Compute optimized,172.0 fps,96 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),20 Gigabit,$2.304 hourly,$1.4617 hourly,$0.6078 hourly,,
C6GD 16xlarge Extra Large,c6gd.16xlarge,"1,243,764.98",Compute optimized,176.0 fps,128 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$3.072 hourly,$1.9489 hourly,$0.5897 hourly,,
C6GD Double Extra Large,c6gd.2xlarge,"158,029.894",Compute optimized,50.0 fps,16 GiB,8 vCPUs,474 GB NVMe SSD,Up to 10 Gigabit,$0.384 hourly,$0.2436 hourly,$0.1257 hourly,,
C6GD Quadruple Extra Large,c6gd.4xlarge,"311,425.42",Compute optimized,94.0 fps,32 GiB,16 vCPUs,950 GB NVMe SSD,Up to 10 Gigabit,$0.768 hourly,$0.4872 hourly,$0.2931 hourly,,
C6GD Eight Extra Large,c6gd.8xlarge,"625,814.863",Compute optimized,152.0 fps,64 GiB,32 vCPUs,1900 GB NVMe SSD,12 Gigabit,$1.536 hourly,$0.9745 hourly,$0.4362 hourly,,
C6GD Large,c6gd.large,"39,968.026",Compute optimized,,4 GiB,2 vCPUs,118 GB NVMe SSD,Up to 10 Gigabit,$0.096 hourly,$0.0609 hourly,$0.0191 hourly,,
C6GD Medium,c6gd.medium,"19,098.549",Compute optimized,,2 GiB,1 vCPUs,59 GB NVMe SSD,Up to 10 Gigabit,$0.048 hourly,$0.0305 hourly,$0.0086 hourly,,
C6GD Metal,c6gd.metal,"1,247,239.184",Compute optimized,178.0 fps,128 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$3.072 hourly,$1.9489 hourly,$0.3072 hourly,,
C6GD Extra Large,c6gd.xlarge,"78,426.247",Compute optimized,26.0 fps,8 GiB,4 vCPUs,237 GB NVMe SSD,Up to 10 Gigabit,$0.192 hourly,$0.1218 hourly,$0.0629 hourly,,
C6GN 12xlarge Extra Large,c6gn.12xlarge,"932,823.735",Compute optimized,172.0 fps,96 GiB,48 vCPUs,EBS only,75 Gigabit,$2.592 hourly,$1.638 hourly,$0.8447 hourly,,
C6GN 16xlarge Extra Large,c6gn.16xlarge,"1,273,125.124",Compute optimized,175.0 fps,128 GiB,64 vCPUs,EBS only,100 Gigabit,$3.456 hourly,$2.184 hourly,$0.6333 hourly,,
C6GN Double Extra Large,c6gn.2xlarge,"160,192.231",Compute optimized,50.0 fps,16 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.432 hourly,$0.273 hourly,$0.1266 hourly,,
C6GN Quadruple Extra Large,c6gn.4xlarge,"306,435.138",Compute optimized,93.0 fps,32 GiB,16 vCPUs,EBS only,25 Gigabit,$0.864 hourly,$0.546 hourly,$0.2938 hourly,,
C6GN Eight Extra Large,c6gn.8xlarge,"619,874.734",Compute optimized,151.0 fps,64 GiB,32 vCPUs,EBS only,50 Gigabit,$1.728 hourly,$1.092 hourly,$0.4829 hourly,,
C6GN Large,c6gn.large,"40,238.75",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.108 hourly,$0.0683 hourly,$0.0262 hourly,,
C6GN Medium,c6gn.medium,"19,136.314",Compute optimized,,2 GiB,1 vCPUs,EBS only,Up to 16 Gigabit,$0.054 hourly,$0.0341 hourly,$0.0095 hourly,,
C6GN Metal,c6gn.metal,,Compute optimized,,128 GiB,64 vCPUs,EBS only,100 Gigabit,,,,,
C6GN Extra Large,c6gn.xlarge,"79,166.117",Compute optimized,26.0 fps,8 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.216 hourly,$0.1365 hourly,$0.0704 hourly,,
C6I 12xlarge Extra Large,c6i.12xlarge,"847,121.112",Compute optimized,218.0 fps,96 GiB,48 vCPUs,EBS only,18.75 Gigabit,$2.544 hourly,$1.6802 hourly,$0.8978 hourly,$4.752 hourly,$1.6802 hourly
C6I 16xlarge Extra Large,c6i.16xlarge,"1,074,862.493",Compute optimized,185.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,$3.392 hourly,$2.2403 hourly,$1.3985 hourly,$6.336 hourly,$2.2403 hourly
C6I 24xlarge,c6i.24xlarge,"1,618,545.838",Compute optimized,237.0 fps,192 GiB,96 vCPUs,EBS only,37.5 Gigabit,$5.088 hourly,$3.3604 hourly,$1.6911 hourly,$9.504 hourly,$7.7764 hourly
C6I Double Extra Large,c6i.2xlarge,"136,839.855",Compute optimized,54.0 fps,16 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.424 hourly,$0.28 hourly,$0.1575 hourly,$0.792 hourly,$0.648 hourly
C6I 32xlarge,c6i.32xlarge,"2,262,083.591",Compute optimized,219.0 fps,256 GiB,128 vCPUs,EBS only,50 Gigabit,$6.784 hourly,$4.4806 hourly,$2.7863 hourly,$12.672 hourly,$10.3686 hourly
C6I Quadruple Extra Large,c6i.4xlarge,"276,864.509",Compute optimized,101.0 fps,32 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.848 hourly,$0.5601 hourly,$0.3174 hourly,$1.584 hourly,$1.2961 hourly
C6I Eight Extra Large,c6i.8xlarge,"540,723.217",Compute optimized,185.0 fps,64 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.696 hourly,$1.1201 hourly,$0.7274 hourly,$3.168 hourly,$2.5921 hourly
C6I Large,c6i.large,"35,321.128",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.106 hourly,$0.07 hourly,$0.036 hourly,$0.198 hourly,$0.07 hourly
C6I Metal,c6i.metal,"2,266,589.933",Compute optimized,255.0 fps,256 GiB,128 vCPUs,EBS only,50 Gigabit,$6.784 hourly,$4.4806 hourly,$1.2011 hourly,$12.672 hourly,$10.3686 hourly
C6I Extra Large,c6i.xlarge,"70,311.127",Compute optimized,27.0 fps,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.212 hourly,$0.14 hourly,$0.0774 hourly,$0.396 hourly,$0.324 hourly
C6ID 12xlarge Extra Large,c6id.12xlarge,,Compute optimized,,96 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),18.75 Gigabit,,,,,
C6ID 16xlarge Extra Large,c6id.16xlarge,,Compute optimized,,128 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,,,,,
C6ID 24xlarge,c6id.24xlarge,,Compute optimized,,192 GiB,96 vCPUs,5700 GB (4×1425 GB NVMe SSD),37.5 Gigabit,,,,,
C6ID Double Extra Large,c6id.2xlarge,,Compute optimized,,16 GiB,8 vCPUs,474 GB NVMe SSD,Up to 12.5 Gigabit,,,,,
C6ID 32xlarge,c6id.32xlarge,,Compute optimized,,256 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,,,,,
C6ID Quadruple Extra Large,c6id.4xlarge,,Compute optimized,,32 GiB,16 vCPUs,950 GB NVMe SSD,Up to 12.5 Gigabit,,,,,
C6ID Eight Extra Large,c6id.8xlarge,,Compute optimized,,64 GiB,32 vCPUs,1900 GB NVMe SSD,12.5 Gigabit,,,,,
C6ID Large,c6id.large,,Compute optimized,,4 GiB,2 vCPUs,118 GB NVMe SSD,Up to 12.5 Gigabit,,,,,
C6ID Metal,c6id.metal,,Compute optimized,,256 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,,,,,
C6ID Extra Large,c6id.xlarge,,Compute optimized,,8 GiB,4 vCPUs,237 GB NVMe SSD,Up to 12.5 Gigabit,,,,,
C6IN 12xlarge Extra Large,c6in.12xlarge,"795,228.628",Compute optimized,215.0 fps,96 GiB,48 vCPUs,EBS only,75 Gigabit,$3.402 hourly,$2.1433 hourly,$1.1249 hourly,$5.61 hourly,$4.3513 hourly
C6IN 16xlarge Extra Large,c6in.16xlarge,"1,061,183.883",Compute optimized,187.0 fps,128 GiB,64 vCPUs,EBS only,100 Gigabit,$4.536 hourly,$2.8577 hourly,$1.6371 hourly,$7.48 hourly,$5.8017 hourly
C6IN 24xlarge,c6in.24xlarge,"1,632,306.057",Compute optimized,238.0 fps,192 GiB,96 vCPUs,EBS only,150 Gigabit,$6.804 hourly,$4.2865 hourly,$1.3305 hourly,$11.22 hourly,$8.7025 hourly
C6IN Double Extra Large,c6in.2xlarge,"136,025.505",Compute optimized,56.0 fps,16 GiB,8 vCPUs,EBS only,Up to 40 Gigabit,$0.567 hourly,$0.3572 hourly,$0.1728 hourly,$0.935 hourly,$0.7252 hourly
C6IN 32xlarge,c6in.32xlarge,"2,142,887.038",Compute optimized,212.0 fps,256 GiB,128 vCPUs,EBS only,200 Gigabit,$9.072 hourly,$5.7154 hourly,$1.7096 hourly,$14.96 hourly,$11.6034 hourly
C6IN Quadruple Extra Large,c6in.4xlarge,"269,837.254",Compute optimized,107.0 fps,32 GiB,16 vCPUs,EBS only,Up to 50 Gigabit,$1.134 hourly,$0.7144 hourly,$0.3726 hourly,$1.87 hourly,$1.4504 hourly
C6IN Eight Extra Large,c6in.8xlarge,"544,588.155",Compute optimized,186.0 fps,64 GiB,32 vCPUs,EBS only,50 Gigabit,$2.268 hourly,$1.4288 hourly,$0.532 hourly,$3.74 hourly,$2.9008 hourly
C6IN Large,c6in.large,"33,765.247",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.1418 hourly,$0.0893 hourly,$0.0326 hourly,$0.2338 hourly,$0.1813 hourly
C6IN Metal,c6in.metal,"2,300,606.605",Compute optimized,258.0 fps,256 GiB,128 vCPUs,EBS only,200 Gigabit,$9.072 hourly,$5.7154 hourly,$1.189 hourly,$14.96 hourly,$11.6034 hourly
C6IN Extra Large,c6in.xlarge,"68,678.371",Compute optimized,28.0 fps,8 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,$0.2835 hourly,$0.1786 hourly,$0.0947 hourly,$0.4675 hourly,$0.3626 hourly
C7A 12xlarge Extra Large,c7a.12xlarge,"1,416,207.71",Compute optimized,298.0 fps,96 GiB,48 vCPUs,EBS only,18.75 Gigabit,,,,,
C7A 16xlarge Extra Large,c7a.16xlarge,"2,015,219.103",Compute optimized,322.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,,,,,
